"Abberath's Fury",艾貝拉斯之怒
"Shattering Spite",憎惡碎綻
Shred,裂碎
"Spell Totem",法術圖騰
"Static Shocks",靜電震盪
"Thrashing Vines",藤蔓痛打
"Walking Calamity",行走災厄
"Wing Blast",翅翼猛襲
"Wolf Pack",召喚惡狼
"Blazing Glare",熾炎灼視
"Bursting Toad","爆裂蟾蜍
"
"Caustic Retribution",酸蝕報復
"Ceaseless Flesh",無休血肉
"Charged Dash of Projection",雷霆衝鋒．投射
Cinders,餘灰燼矢
"Creeping Frost of Floes",寒霜滲透．浮冰
"Divine Blast",神聖爆破
Fissure,"裂隙之擊 "
"Flamethrower Trap of Stability",噴火陷阱．穩定
Foulgrasp,穢邪攫取
"Frost Wall of Encroachment",冰牆．侵襲
"Holy Hammers",神聖之錘
"Holy Strike",神聖打擊
"Holy Sweep",神聖橫掃
"Kinetic Fusillade of Detonation",力量猛射．引爆
Mesmerize,催眠指令
"Orb of Storms of Squalls",風暴漩渦．颮風
"Return to Mirage Portal",蜃景回歸
"Rings of Light",聖芒之環
"Searing Bond of Detonation",灼熱連結．引爆
"Shield of Light",聖光盾擊
"Shock Nova of Procession",閃電新星．行進
"Shockwave Totem of Authority",震波圖騰．威權
"Siphoning Trap of Pain",虹吸陷阱．苦痛
"Static Strike of Gathering Lightning",充能打擊．聚雷
"Storm Burst of Repulsion",風爆．排斥
"Summon Hiveborn",召喚巢裔
"Suspend in Time",時禁凝滯
"Tears of Rot",腐朽淚滴
"Void Shockwave",虛空震波
Voidstorm,虛空風暴
