"Iron Gauntlets","철제 건틀릿"
"Hunting Coat","사냥 외투"
"Riding Coat","승마 외투"
"Layered Vest","겹겹의 조끼"
"Runner Vest","주자 조끼"
"Lizardscale Coat","도마뱀비늘 외투"
"Avian Robe","새의 로브"
"Cursespeaker's Robe","저주발화자의 로브"
"Luxurious Robe","호화로운 로브"
"River Raiment","강 의복"
"Adherent's Raiment","지지자의 의복"
"Ceremonial Robe","의식용 로브"
"Ring Mail","고리 사슬옷"
"Scoundrel Armour","불한당 방어구"
"Wanderer Armour","방랑자 방어구"
"Mantled Mail","덮개 덮은 사슬옷"
"Trailblazer Armour","창시자 방어구"
"Golden Mail","황금 사슬옷"
"Templar Vestments","템플러 법의"
"Bearskin Mantle","곰가죽 외투"
"Chain Vestments","쇠사슬 법의"
"Occultist Mantle","비술사 외투"
"Plated Vestments","판금 법의"
"Heartcarver Mantle","심장도륙자 외투"
"Oiled Jacket","기름칠된 재킷"
"Evangelist Garb","선교사 의복"
"Itinerant Jacket","순회자 재킷"
"Hatungo Garb","하툰고 의복"
"Hawker's Jacket","행상 재킷"
"Soldier Cuirass","병사 흉갑"
"Ornate Plate","화려한 판금 갑옷"
"Utzaal Cuirass","웃자알 흉갑"
"Warlord Cuirass","전쟁군주 흉갑"
"Swiftstalker Coat","재빠른 추적자 외투"
"Slipstrike Vest","미끄러진 타격 조끼"
"Wyrmscale Coat","아룡 비늘 외투"
"Corsair Coat","해적 외투"
"Vile Robe","끔찍한 로브"
"Flowing Raiment","흐르는 의복"
"Sacramental Robe","성찬의 로브"
"Feathered Raiment","깃털 의복"
"Dastard Armour","비겁자 방어구"
"Shrouded Mail","연막의 사슬옷"
"Death Mail","죽음의 사슬옷"
"Thane Mail","테인 사슬옷"
"Wolfskin Mantle","늑대가죽 외투"
"Conjurer Mantle","요술사 외투"
"Death Mantle","죽음의 외투"
"Seastorm Mantle","바다폭풍 외투"
"Sleek Jacket","매끈한 재킷"
"Rambler Jacket","뚜벅이 재킷"
"Falconer's Jacket","매 조련사의 재킷"
"Austere Garb","금욕적인 의복"
"Sentinel Greathelm","파수꾼 대헬름"
"Vermeil Circlet","버메일 관"
"Archon Crown","집정관 왕관"
"Corroded Greathelm","부식된 대헬름"
"Mercenary Greathelm","용병 대헬름"
"Homeguard Greathelm","의용병 대헬름"
"Elegant Greathelm","우아한 대헬름"
"Noble Greathelm","귀족 대헬름"
"Rotted Hood","썩은 두건"
"Wool Cap","양모 모자"
"Narrow Hood","좁은 두건"
"Wrapped Cap","싸맨 모자"
"Deerstalker Hood","사슴 추적자 두건"
"Druidic Circlet","드루이드 관"
"Avian Tiara","새의 티아라"
"Desert Circlet","사막 관"
"Sandsworn Tiara","모래맹세 티아라"
"Jungle Tiara","밀림 티아라"
"Domed Helm","반구형 헬름"
"Engraved Helm","아로새긴 헬름"
"Soldier Helm","병사 헬름"
"Cabalist Helm","비법가 헬름"
"Gladiatoral Helm","검투사 헬름"
"Mailed Crown","사슬 왕관"
"Forest Crown","숲 왕관"
"Zealot Crown","맹신자 왕관"
"Hallowed Crown","거룩한 왕관"
"Inquisitor Crown","이단심문관 왕관"
"Oak Mask","참나무 가면"
"Bandit Mask","도적 가면"
"Skulking Mask","숨은 가면"
"Pariah Mask","부랑자 가면"
"Avian Mask","새의 가면"
"Warmonger Greathelm","전쟁광 대헬름"
"Masked Greathelm","가면 쓴 대헬름"
"Paragon Greathelm","모범 대헬름"
"Imperial Greathelm","제국의 대헬름"
"Woven Cap","엮은 모자"
"Desert Cap","사막 모자"
"Trapper Hood","덫사냥꾼 두건"
"Freebooter Cap","무뢰한 모자"
"Skycrown Tiara","하늘왕관 티아라"
"Sorcerous Tiara","악령술의 티아라"
"Kamasan Tiara","카마사의 티아라"
"Ancestral Tiara","선대의 티아라"
"Warded Helm","수호받는 헬름"
"Cryptic Helm","난해한 헬름"
"Champion Helm","용사 헬름"
"Gladiatorial Helm","검투사 헬름"
"Druidic Crown","드루이드 왕관"
"Saintly Crown","성인 왕관"
"Cryptic Crown","난해한 왕관"
"Brigand Mask","도둑 가면"
"Faridun Mask","파리둔 가면"
"Soaring Mask","솟구치는 가면"
"Grinning Mask","웃는 가면"
"Garuk's Current","가루크의 흐름"
"Demigod's Virtue","반신의 미덕"
"The Road Warrior","도로의 전사"
"Demigod's Duty","반신의 의무"
"Demigod's Loyalty","반신의 충성심"
"Demigod's Valor","반신의 용맹"
Seastrider,바다질주자
"Silks of Veneration","숭배의 비단"
Gloamgown,석양법복
"The Fallen Formation","몰락자 진형"
Sacrosanctum,천골성소
"Death Articulated","또렷하게 들려오는 죽음"
"Black Vise","검은 조임쇠"
"Essentia Sanguis","피의 정수"
"Leopold's Applause","레오폴드의 갈채"
"Valako's Vice","발라코의 악덕"
"The Prisoner's Manacles","죄수의 수갑"
"The Black Insignia","검은 휘장"
Howlcrack,포효균열
Scornflux,경멸융합
"Hand of Heresy","이단의 손"
"Servant of Decay","부패의 종복"
"Seven Teachings","일곱 개의 가르침"
"The Dark Monarch","어둠의 국왕"
"The Hallowed Monarch","거룩한 국왕"
"Hand of the Lords","군주의 손"
"The Caged Mammoth","감금된 매머드"
"Refuge in Isolation","고립 속의 피난처"
"Rigwald's Hunt","리그월드의 사냥"
"Sacrificial Regalia","희생의 예복"
